Name,Type,Forward_MACs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,45875200,0.94%,6555392,2.50%,448,0.01%,1x3x640x640,1x16x320x320
/model.0/act/Sigmoid,Sigmoid,52428800,1.07%,6553600,2.50%,0,0.00%,1x16x320x320,1x16x320x320
/model.0/act/Mul,Mul,1638400,0.03%,6553600,2.50%,0,0.00%,1x16x320x320,1x16x320x320
/model.1/conv/Conv,Conv,118784000,2.43%,3295360,1.26%,4640,0.15%,1x16x320x320,1x32x160x160
/model.1/act/Sigmoid,Sigmoid,26214400,0.54%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.1/act/Mul,Mul,819200,0.02%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/conv/Conv,Conv,27033600,0.55%,3281024,1.25%,1056,0.03%,1x32x160x160,1x32x160x160
/model.2/cv1/act/Sigmoid,Sigmoid,26214400,0.54%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv1/act/Mul,Mul,819200,0.02%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
Constant_31,Constant,0,0.00%,0,0.00%,0,0.00%,0,2
/model.2/Split,Split,0,0.00%,3276800,1.25%,0,0.00%,1x32x160x160,1x16x160x160
/model.2/m.0/cv1/conv/Conv,Conv,59392000,1.21%,1647680,0.63%,2320,0.07%,1x16x160x160,1x16x160x160
/model.2/m.0/cv1/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m.0/cv1/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m.0/cv2/conv/Conv,Conv,59392000,1.21%,1647680,0.63%,2320,0.07%,1x16x160x160,1x16x160x160
/model.2/m.0/cv2/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m.0/cv2/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/m.0/Add,Add,409600,0.01%,1638400,0.63%,0,0.00%,1x16x160x160,1x16x160x160
/model.2/Concat,Concat,0,0.00%,4915200,1.88%,0,0.00%,1x16x160x160,1x48x160x160
/model.2/cv2/conv/Conv,Conv,40140800,0.82%,3283072,1.25%,1568,0.05%,1x48x160x160,1x32x160x160
/model.2/cv2/act/Sigmoid,Sigmoid,26214400,0.54%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.2/cv2/act/Mul,Mul,819200,0.02%,3276800,1.25%,0,0.00%,1x32x160x160,1x32x160x160
/model.3/conv/Conv,Conv,118374400,2.42%,1712384,0.65%,18496,0.59%,1x32x160x160,1x64x80x80
/model.3/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.3/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv1/conv/Conv,Conv,26624000,0.54%,1655040,0.63%,4160,0.13%,1x64x80x80,1x64x80x80
/model.4/cv1/act/Sigmoid,Sigmoid,13107200,0.27%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
/model.4/cv1/act/Mul,Mul,409600,0.01%,1638400,0.63%,0,0.00%,1x64x80x80,1x64x80x80
Constant_50,Constant,0,0.00%,0,0.00%,0,0.00%,0,2
/model.4/Split,Split,0,0.00%,1638400,0.63%,0,0.00%,1x64x80x80,1x32x80x80
/model.4/m.0/cv1/conv/Conv,Conv,59187200,1.21%,856192,0.33%,9248,0.29%,1x32x80x80,1x32x80x80
/model.4/m.0/cv1/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.0/cv1/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.0/cv2/conv/Conv,Conv,59187200,1.21%,856192,0.33%,9248,0.29%,1x32x80x80,1x32x80x80
/model.4/m.0/cv2/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.0/cv2/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.0/Add,Add,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.1/cv1/conv/Conv,Conv,59187200,1.21%,856192,0.33%,9248,0.29%,1x32x80x80,1x32x80x80
/model.4/m.1/cv1/act/Sigmoid,Sigmoid,6553600,0.13%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
/model.4/m.1/cv1/act/Mul,Mul,204800,0.00%,819200,0.31%,0,0.00%,1x32x80x80,1x32x80x80
